༄༅། །རྒྱ་གར་སྐད་དུ། མཱ་ཡཱ་ཛཱ་ལཾ་ནཱ་མ་མ་ཧཱ་སཱུ་ཏྲཾ། བོད་སྐད་དུ།
མདོ་ཆེན་པོ་སྒྱུ་མའི་དྲ་བ་ཞེས་བྱ་བ། དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Mahāsūtra “Illusion’s Net” Homage to the Three Jewels.
དེ་དག་ལ་ཡང་དུས་ལ་ལར་ནི་ཡིད་བདེ་བའི་གནས་ལྟ་བུ་དག་ཏུ་འགྱུར་ཞིང་། དུས་ལ་ལར་ནི་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ཏུ་འགྱུར། དུས་ལ་ལར་ནི་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ཏུ་འགྱུར་ཏེ། ||| Sometimes they will be pleasant to them, sometimes they will be unpleasant, and sometimes they will be neutral.
དགེ་སློང་དག་དེ་ལྟར་ན་འདི་ལ་སེམས་ཅན་རྣམས་སུ་ཡུན་རིང་པོ་ནས་སེམས་ཀྱིས་བསྒྲིབས་ཤིང་། སེམས་ཀྱིས་བྲིད། སེམས་ཀྱིས་བསླུས་ནས་ཉེས་དམིགས་སུ་མི་མཐོང་ཞིང་། ||| Monks, beings have been obscured by their minds in this way for a long time, and since they have been deceived and duped by their minds, they do not recognize the error.
ངེས་པར་འབྱུང་བ་རབ་ཏུ་མི་ཤེས་ཏེ། བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་གོ། ། ||| They have no conception of renunciation, and evil Māra forces them to do whatever he desires.
དགེ་སློང་དག་དགེ་སྦྱོང་ངམ། བྲམ་ཟེ་གང་དག་ཁ་ཅིག་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རེག་བྱ་འདི་དག་ཉིད་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་མ་མཐོང་ཞིང་། ཇི་ལྟར་རང་རང་ལོག་པར་མོས་པ་དག་ལ་ནན་གྱིས་བཟུང་སྟེ། ||| “Monks, some śramaṇas and brāhmaṇas do not see those textures that are perceived by the body as they truly and really are, so they stubbornly hold on to their own mistaken beliefs.
མངོན་པར་ཞེན་པར་བྱས་ནས་འདི་ཉིད་བདེན་གྱི་གཞན་ནི་བརྫུན་པའོ་ཞེས་རྗེས་སུ་ཐ་སྙད་འདོགས་པར་བྱེད་པ་དེ་དག་ནི་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རེག་བྱ་ཡིད་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་རྗེས་སུ་ཆགས་ཤིང་གནས་ཏེ། ||| They cling to them as real, thinking, ‘This is true, and anything else is false,’ and they conduct themselves accordingly. They become and remain attached to pleasant textures perceived by the body.
དགེ་སྦྱོང་དང་། བྲམ་ཟེ་བརྣབ་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པས་ཀུན་ནས་སུན་ཕྱུང་བ། ། ||| These śramaṇas and brāhmaṇas are completely corrupted by the psychophysical bond of covetousness.
རྗེས་སུ་ཆགས་པའི་ཀུན་དུ་སྦྱོར་བ་དང་ལྡན་པ་དེ་དག་ཀྱང་བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་པ་ཡིན་ནོ། ། ||| They are entangled in attachment, and so they too are forced to do whatever evil Māra desires.
དགེ་སློང་དག་དགེ་སྦྱོང་དང་། བྲམ་ཟེ་གང་དག་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རེག་བྱ་འདི་དག་ཉིད་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་མ་མཐོང་ཞིང་། ||| “Monks, some śramaṇas and brāhmaṇas do not see those textures that are perceived by the body as they truly and really are, so they stubbornly hold on to their own mistaken beliefs.
ཇི་ལྟར་རང་རང་ལོག་པར་མོས་པ་དག་ལ་ནན་གྱིས་བཟུང་སྟེ། ||| They cling to them as real, thinking, ‘This is true, and anything else is false,’ and they conduct themselves accordingly.
མངོན་པར་ཞེན་པར་བྱས་ནས་འདི་ཉིད་བདེན་གྱི་གཞན་ནི་དོན་མེད་པའོ་ཞེས་རྗེས་སུ་ཐ་སྙད་འདོགས་པར་བྱེད་པ་དེ་དག་ནི་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རེག་བྱ་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ཁོང་ཁྲོ་བ་དང་ལྡན་པར་གནས་ཏེ། ||| They remain averse to unpleasant textures perceived by the body.
དགེ་སྦྱོང་དང་བྲམ་ཟེ་གནོད་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པས་ཀུན་ནས་སུན་ཕྱུང་བ། ||| These śramaṇas and brāhmaṇas are completely corrupted by the psychophysical bond of malice.
ཁོང་ཁྲོ་བའི་ཀུན་དུ་སྦྱོར་བ་དང་ལྡན་པ་དེ་དག་ཀྱང་བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་པ་ཡིན་ནོ། ། ||| They are entangled in aversion, and so they too are forced to do whatever evil Māra desires.
དགེ་སློང་དག་དགེ་སྦྱོང་ངམ། བྲམ་ཟེ་གང་དག་ཁ་ཅིག་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རེག་བྱ་འདི་དག་ཉིད་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་མ་མཐོང་ཞིང་། ཇི་ལྟར་རང་རང་ལོག་པར་མོས་པ་དག་ལ་ནན་གྱིས་བཟུང་སྟེ། ||| “Monks, some śramaṇas and brāhmaṇas do not see those textures that are perceived by the body as they truly and really are, so they stubbornly hold on to their own mistaken beliefs.
མངོན་པར་ཞེན་པར་བྱས་ནས་འདི་ཉིད་བདེན་གྱི་གཞན་ནི་བརྫུན་པའོ་ཞེས་རྗེས་སུ་ཐ་སྙད་འདོགས་པར་བྱེད་པ་དེ་དག་ནི་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རེག་བྱ་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ལ་སོ་སོར་བརྟགས་པ་མ་ཡིན། ||| They cling to them as real, thinking, ‘This is true, and anything else is false,’ and they conduct themselves accordingly.
སོ་སོར་བརྟགས་པ་མ་ཡིན་པའི་བཏང་སྙོམས་སུ་གནས་ཏེ། ||| They remain thoughtlessly indifferent to neutral textures perceived by the body.
དགེ་སྦྱོང་དང་། བྲམ་ཟེ་འདི་བདེན་ནོ་སྙམ་དུ་མངོན་པར་ཞེན་ཅིང་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པས་ཀུན་ནས་སུན་ཕྱུང་བ། ||| These śramaṇas and brāhmaṇas are completely corrupted by the psychophysical bond of thinking, ‘This is the truth,’ and clinging to it as real.
ང་རྒྱལ་གྱི་ཀུན་དུ་སྦྱོར་བ་དང་ལྡན་པ་དེ་དག་ཀྱང་བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་པ་ཡིན་ནོ། ། ||| They are entangled in pride, and so they too are forced to do whatever evil Māra desires.
དགེ་སློང་དག་འདི་ལྟ་སྟེ། ||| “Here is an analogy, monks.
དཔེར་ན་མི་ཞིག་རྐུན་པོ་དག་གིས་གཙེས་པ་ན་རང་གི་བུ་ཡིན་ནོ་སྙམ་དུ་སེམས་ཤིང་གཞན་གྱི་བུ་བླངས་ཏེ་གྲོང་ནས་འབྲོས་པར་བྱེད་ཅིང་། དེ་དེས་མངོན་པར་དགའ་བར་བྱེད་ལ། ||| When a person is attacked by robbers, they might grab someone else’s child, thinking it is their own, and then leave town.
དེ་ལ་ཉེས་དམིགས་སུ་མ་མཐོང་བ་ལས། གང་གི་ཚེ་དེ་སོ་སོར་རྟོག་པར་བྱེད་པ་ན་འདི་ནི་བདག་གི་བུ་མ་ཡིན་གྱི། འདི་ནི་གཞན་གྱི་བུ་ཡིན་ནོ་ཞེས་ཤེས་པར་གྱུར་པ་དེའི་ཚེ། དེ་དེས་གདུང་བར་བྱེད། ངོ་ཚ་བར་བྱེད། གནོང་བར་བྱེད་ཅིང་རྣམ་པར་སྨོད་པར་བྱེད་དོ། ། ||| At first, they rejoice and see no fault in this, but once they thoroughly examine it, they realize that the child is not their own but someone else’s, and it brings them distress, shame, remorse, and disgust.
དགེ་སློང་དག་དེ་བཞིན་དུ། འཕགས་པ་ཉན་ཐོས་ཐོས་པ་དང་ལྡན་པ་ཡང་འཕགས་པ་འཇིག་རྟེན་ལས་འདས་པའི་ཤེས་རབ་འདི་ཉིད་ཐོབ་ནས་སྔོན་གྱི་བྱིས་པའི་སྤྱོད་པ་དང་། རྨོངས་པའི་སྤྱོད་པ་དང་། ཤེས་རབ་འཆལ་པའི་སྤྱོད་པ་དེས་གདུང་བར་བྱེད། ངོ་ཚ་བར་བྱེད། ||| “Monks, in the same way, after noble hearers who are learned have obtained noble, supramundane wisdom, their previous childish, deluded, and confused behavior brings them distress, shame, remorse, and disgust.
གནོང་བར་བྱེད་ཅིང་། རྣམ་པར་སྨོད་པར་བྱེད་ལ། དེ་འདི་སྙམ་དུ་སེམས་ཏེ། བདག་གིས་ནི་སྔོན་མི་རྟག་པ་ཁོ་ན་ལ་རྟག་པར་བསམས་ཤིང་། ||| They think, ‘Formerly, I thought there was permanence where there is only impermanence.
བདག་གིས་སྡུག་བསྔལ་བ་ཁོ་ན་ལ་ནི་བདེ་བར་བསམས། ||| I thought there was happiness where there is only suffering.
བདག་གིས་མི་གཙང་བ་ཁོ་ན་ལ་ནི་གཙང་བར་བསམས། ||| I thought there was purity where there is only impurity.
