འཕགས་པ་དམ་པའི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ། ||| The Noble Application of Mindfulness of the Sacred Dharma
ཇི་ལྟར་དེའི་སེམས་ཀྱི་རྒྱུད་དང་། ཞིང་ལ་རབ་ཏུ་དང་བའི་དབང་གི་སེམས་ཀྱི་ཡོན་ཏན་དམན་པ་དང་། བར་མ་དང་། ཁྱད་པར་འཕགས་པའི་ལས་ཀྱི་ཁྱད་པར་གྱིས་རྣམ་པ་དེ་ལྟ་བུ་ཉིད་དུ་སྐྱེ་བར་འགྱུར་རོ། ||| Therefore, they also take birth in three corresponding ways.
།གང་གི་ཕྱིར་དོན་དང་ལྡན་པའི་ཚུལ་ཁྲིམས་སླུ་བ་མེད་པའི་འབྲས་བུ་ཡང་ལས་རྣམས་དང་འདྲ་བ་ཡིན་ན་སྡོམ་པ་འཛིན་པ་བཟུང་བས་མྱ་ངན་ལས་འདས་པའི་མཐར་ཐུག་པར་འགྱུར་བ་དེའི་དེ་ལྟར་འདིར་སྐྱེ་བར་འགྱུར་བ་ལ་ལྟ་སྨོས་ཀྱང་ཅི་དགོས། ||| These results are unfailingly achieved through meaningful discipline, and they accord with their causal actions. There is, therefore, no need to mention that birth in the Heaven Free from Strife may also be achieved by taking vows and thus becoming destined for the transcendence of suffering.
སྡོམ་པའི་ཚུལ་ཁྲིམས་དེ་དག་ཀྱང་རྣམ་པ་དུ་ཞིག་ཡོད་པ་ཡིན་ཞེ་ན། ||| “ ‘How many types of discipline associated with vows are there?
དེ་ལ་མདོར་བསྡུ་ན་འཁོར་བཞིའི་སྡོམ་པའོ། །དེ་དེར་གཏོགས་པའི་བཞི་ནི་དགེ་སྦྱོང་དང་། དགེ་སྦྱོང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མའི་སྟེ། ||| In short, there are four types of vows, namely, those of a monk, a nun, a male lay practitioner, and a female lay practitioner.
དེ་དག་ནི་འཁོར་རྣམ་པ་བཞི་ཡིན་ནོ། ||| In other words, there are the vows of the fourfold retinue.
།དེ་ལ་ཡང་དེ་དག་གི་སྡོམ་པ་ནི་གང་ཡིན། རྣམ་པ་ནི་དུ་ཞིག་ཡོད། དེ་དག་གི་སྡོམ་པ་རྣམས་ཐ་དད་པར་ནི་ཇི་ལྟར་འགྱུར་བ་ཡིན་ན། ||| What are their vows, how many are there, and how do they differ?
དེ་ལ་དགེ་བསྙེན་མདོར་བསྡུ་ན་རྣམ་པ་བཞིའོ། ||| The Male Lay Practitioner “ ‘Stated concisely, there are four types of male lay practitioner.
།བཞི་པོ་རྣམས་གང་ཞེ་ན། ||| What are they?
ཕྱོགས་གཅིག་ལ་སྤྱོད་པར་གྱུར་པ་དང་། མཐར་ཐུག་པར་སྤྱོད་པ་དང་། ཐམས་ཅད་ལ་སྤྱོད་པ་དང་། བསླབ་པའི་གཞི་རྣམས་ལས་སྡོམ་པ་གཅིག་བླངས་པའོ། ||| Those who act partially, those who act thoroughly, those who act comprehensively, and those who adopt a single vow among the bases of training.
།མཐར་ཐུག་པར་སྤྱོད་པ་ནི་བསླབ་པའི་གཞི་སྡོམ་པ་བླངས་པ་ལ་སྤྱོད་པའམ་ཕལ་ཆེར་ལ་གནས་ནས་སྤྱོད་པ་སྟེ། སྡོམ་པའི་གཞི་དེ་ཡང་ཡང་དག་པར་འཛིན་ཏོ། ||| Acting thoroughly is when one has taken vows with respect to the bases of training and acts accordingly, or for the most part acts accordingly, thus upholding the bases of training correctly.
།ཐམས་ཅད་ལ་སྤྱོད་པ་ནི་བསླབ་པའི་གཞི་ལྔ་ཡང་དག་པར་འཛིན་པའོ། ||| Acting comprehensively is when one upholds all the five bases of training.
།གཞན་ཡང་རྣམ་པ་བཞི་སྟེ། ||| “ ‘There is also another set of four:
སྔ་ཕྱིར་བསླབ་པའི་གཞི་ལ་སྤྱོད་པ་དང་། ཀུན་ཏུ་ཉམས་པ་མེད་པར་སྤྱོད་པ་དང་། འགྱོད་ནས་སྤྱོད་པ་དང་། ཐམས་ཅད་ཀུན་ཏུ་ཉམས་པར་སྤྱོད་པའོ། ||| engaging with the bases of training sequentially, engaging free from any flaw, engaging with remorse, and engaging in a way that is flawed in all respects.
།དེ་ལ་དགེ་བསྙེན་བསླབ་པའི་གཞི་ལ་སྔ་ཕྱིར་སྤྱོད་པ་ནི་གང་བསླབ་པའི་གཞི་རྒྱ་མཚོ་ལ་སྔ་ཕྱིར་བགྲོད་པར་བྱེད་པས་སྔ་ཕྱིར་བགྲོད་པར་བྱེད་དོ། ||| A lay practitioner who engages with the bases of training sequentially is someone who journeys through the ocean of the bases of training one at a time.
།དེ་དང་པོ་ཁོ་ནར་གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བའི་དགེ་བསྙེན་དུ་འགྱུར་རོ། ||| First, such a person becomes a lay practitioner who goes for refuge in the Three Jewels.
།ཕྱི་ནས་དུས་སྔ་ཕྱིར་སེམས་ཀྱིས་བསྒོམས་ནས་ཡོན་ཏན་ལེགས་པ་དང་ལྡན་པར་བྱས་ཏེ། ||| Later, he develops fine qualities, having cultivated them sequentially.
བསླབ་པའི་གཞི་གཅིག་ལེགས་པར་འཛིན་ནོ། །དེ་ཡང་མ་ཉམས་པ། མ་ཆད་པ། མ་ཟགས་པར་འཛིན་པར་བྱེད་དོ། ||| In this manner, he may adhere to a single basis for training in ways that are undamaged, uninterrupted, or free from defilement.
།དེ་ལ་མ་ཉམས་པའི་རྣམ་པ་འདི་ལྟ་བུ་གང་ཡིན། མ་ཆད་པའི་རྣམ་པ་འདི་ལྟ་བུ་གང་ཡིན། མ་ཟགས་པའི་རྣམ་པ་དེ་ལྟ་བུ་གང་ཡིན་ན། ||| “ ‘What is meant by undamaged, uninterrupted, or free from defilement?
མ་ཉམས་པ་ཞེས་བྱ་བ་ཇི་སྲིད་འཚོའི་བར་དུ་བདག་ཉིད་ཀྱིས་འཛིན་པ་སྟེ། སེམས་ཀྱིས་ཀྱང་སྡོམ་པ་ལས་འདའ་བར་འགྱུར་བ་སེམས་པར་མི་བྱེད་དོ། ||| Undamaged observance implies that one follows the training for as long as one is alive and does not even mentally transgress one’s vow.
།གཞན་བྱེད་པ་ན་ཡང་རྗེས་སུ་ཡི་རང་བར་མི་བྱེད་དོ། །བྱེད་པ་ཡང་འགོག་པར་བྱེད་དོ། །དེ་དག་རྣམས་ཆོས་ལ་ཡང་འགོད་པར་བྱེད་དོ། ||| If others do so, one will not condone it but instead try to stop them and establish them in Dharma.
།འདི་ནི་མ་ཉམས་པ་ཞེས་བརྗོད་དོ། ||| That is what is known as undamaged observance.
།དེ་ལ་མ་ཆད་པ་གང་ཞེ་ན། ||| “ ‘What then is uninterrupted observance?
དེ་ཉིད་ཀྱིས་འདིར་བརྒྱ་ལ་ན་བསླབ་པའི་གཞི་རྣམས་གཏོང་བར་བྱེད་དོ། །གལ་ཏེ་ན་འཛིན་པར་བྱེད་དོ། །ཡང་དང་ཡང་དུ་བཏང་ནས་སླར་ཡང་ལེན་པར་བྱེད་དོ། ||| Here one might in some cases let go of the bases of training but will subsequently take them up again, such that whenever they are relinquished, they will again be resumed.
།རྣམ་པ་འདི་ལྟ་བུ་ནི་ཆད་པ་ཡིན་ནོ། ||| That is what is meant by uninterrupted observance.
།དེ་ལ་འདིས་ནི་ཆད་པ་དང་བྲལ་བར་བྱས་ཤིང་འཛིན་པར་བྱེད་དོ། ||| One avoids interruption by way of resumption.
།ཇི་ལྟར་ན་མ་ཟགས་པ་འཛིན་པ་ཡིན་ཞིང་ཟགས་པ་ཡང་ཇི་ལྟར་ཡིན་ན། ||| “ ‘What is observance free from defilement, and how is defilement to be understood here?
འདི་ནི་བསླབ་པའི་གཞི་ལ་དང་པོ་ཉིད་དུ་རབ་ཏུ་དང་བའི་སེམས་ཀྱིས་དགེ་བའི་བཤེས་གཉེན་གྱི་དྲུང་ནས་བཟུང་བ་ལས་དེ་ཕྱི་ནས་འགྱོད་པ་དང་བཅས་པར་གྱུར་ནས་མི་འཛིན་ནོ། ||| It may be the case that one initially embraces the bases of training in a very pure state of mind before a spiritual friend but then later develops regret and fails to observe the vows.
།རྣམ་པར་རྟོག་པའི་ཆུ་བོས་ཁྱེར་རོ། །དེ་སེམས་རྙོག་པ་དང་བཅས་པས་སྤྱོད་པར་བྱེད་དོ། །སེམས་ལ་སྟོབས་མེད་པར་འགྱུར་རོ། ||| As the river of thought carries one away, one is troubled and loses mental strength.
།དེ་ཕྱི་ནས་འགྱོད་པའི་མེས་སྲེག་པར་བྱེད་ལ། ||| Later, one feels the burning fire of regret.
བསྲེགས་པར་གྱུར་ནས་ཀྱང་ཡོངས་སུ་གཏོང་ངོ་། །ཡོངས་སུ་བཏང་ནས་ཀྱང་ཕྱིར་མི་འཛིན་ཏོ། ||| That burning will make one give up the training, and, once abandoned, it will not be resumed.
།འདི་ནི་ཟགས་པ་ཞེས་བརྗོད་དོ། ||| That is what is meant by defilement.
